Acquisition Time[ms], ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, 
0.000,-0.921903,0.041749,-0.372570,-0.478530,0.010254,-0.872829,
0.991,-0.921903,0.041261,-0.375011,-0.478530,0.014405,-0.874782,
1.008,-0.937528,0.042726,-0.366710,-0.484390,0.012207,-0.881374,
0.000,-0.937528,0.041505,-0.361583,-0.484390,0.012207,-0.885281,
1.075,-0.937528,0.041505,-0.361583,-0.479751,0.011719,-0.881130,
1.009,-0.921903,0.040529,-0.362804,-0.479507,0.011963,-0.879177,
0.000,-0.921903,0.042482,-0.359142,-0.484390,0.011963,-0.879177,
0.992,-0.921903,0.042482,-0.359142,-0.478530,0.011231,-0.876735,
1.008,-0.921903,0.043947,-0.357188,-0.484390,0.009766,-0.876735,
0.000,-0.918241,0.044923,-0.358653,-0.479995,0.009766,-0.876735,
0.991,-0.921903,0.044923,-0.358653,-0.480727,0.010743,-0.004883,
1.008,-0.906338,0.044679,-0.357677,-0.478286,0.011231,-0.879665,
0.000,-0.921903,0.044191,-0.357433,-0.478286,0.011231,-0.890652,
0.993,-0.921903,0.044191,-0.357433,-0.476821,0.011475,-0.881130,
1.090,-0.921903,-0.002197,-0.364269,-0.484390,0.013672,-0.883083,
0.645,-0.921903,0.045167,-0.364025,-0.476821,0.012207,-0.871364,
0.000,-0.921903,0.045167,-0.364025,-0.477553,0.012207,-0.871364,
1.010,-0.921903,0.043458,-0.355235,-0.484390,0.014161,-0.870632,
1.007,-0.921903,0.043702,-0.357921,-0.484390,0.015870,-0.875026,
0.000,-0.921903,0.043702,-0.357921,-0.484390,0.015870,-0.875026,
0.993,-0.937528,0.000000,-0.362804,-0.484390,0.011963,-0.875026,
1.007,-0.937528,0.040529,-0.361827,-0.484390,0.011963,-0.873806,
0.000,0.000000,0.040529,-0.361827,-0.474135,0.011963,-0.873806,
0.993,0.015137,0.042238,-0.364269,-0.476577,0.014649,-0.878689,
1.006,-0.922635,0.040529,-0.365245,-0.484390,0.012940,-0.878689,
0.000,-0.937528,0.040529,-0.365245,-0.480239,0.012940,-0.003662,
0.994,0.000000,0.045656,-0.362560,-0.484390,0.009766,-0.875026,
1.007,-0.921903,0.049074,-0.372814,-0.477553,0.010254,-0.876735,
0.000,-0.921903,0.046876,-0.359630,-0.477553,0.010254,-0.876735,
0.993,0.000000,0.000000,-0.359630,-0.477553,0.011475,-0.877468,
1.007,-0.921903,0.047609,-0.359630,-0.484390,0.012696,-0.874294,
0.000,-0.921903,0.044923,-0.356944,-0.484390,0.012696,-0.874294,
1.002,-0.906338,0.044923,-0.356944,-0.478530,0.012696,-0.875271,
0.999,-0.921903,0.041749,-0.354259,-0.484390,0.000000,-0.875515,
0.000,-0.926786,0.042482,-0.355724,-0.484390,0.010743,-0.875515,
0.992,0.013916,0.042482,-0.355724,-0.484390,0.011231,-0.872585,
1.005,-0.921903,0.041749,-0.359630,-0.484390,0.012452,-0.875759,
0.000,-0.921903,0.042238,-0.361095,-0.476821,0.012452,-0.875759,
0.995,0.000000,0.042238,-0.375011,-0.477798,0.013672,-0.874538,
1.006,-0.921903,0.042726,-0.365734,-0.480239,0.014405,-0.874782,
0.000,-0.921903,0.046144,-0.367687,-0.480239,0.014405,-0.874782,
1.278,-0.921903,0.046144,-0.367687,-0.478530,0.014405,-0.878444,
0.121,-0.921903,0.046876,-0.357188,-0.478042,0.014893,-0.878444,
0.982,-0.921903,0.044435,-0.355235,-0.484390,0.017335,-0.879665,
0.000,-0.921903,0.044435,-0.355235,-0.484390,0.015625,-0.879665,
1.043,-0.920194,0.042238,-0.358898,-0.484390,0.014893,-0.880398,
1.005,-0.921903,0.038575,-0.362071,-0.484390,0.010987,-0.878200,
0.000,-0.921903,0.038575,-0.002686,-0.477798,0.010987,-0.878200,
1.030,-0.921903,0.035157,-0.362071,-0.481704,0.008545,-0.876491,
0.971,-0.921903,0.035157,-0.362071,-0.479263,0.006104,-0.878933,
0.000,-0.921903,0.035157,-0.362071,-0.484390,0.006104,-0.878933,
1.016,-0.937528,0.040284,-0.374767,-0.484390,0.009766,-0.879665,
0.982,-0.937528,0.041993,-0.368908,-0.479507,0.012696,-0.877712,
0.000,-0.937528,0.041993,-0.363536,-0.479507,0.012696,-0.877712,
1.016,-0.921903,0.042482,-0.363536,-0.484390,0.011231,-0.875759,
0.983,-0.921903,0.042726,-0.359142,-0.484390,0.011719,-0.875515,
0.000,-0.937528,0.040284,-0.358409,-0.484390,0.011719,-0.875515,
1.015,-0.937528,0.040284,-0.358409,0.004151,0.014893,-0.877712,
0.986,-0.937528,0.040529,0.013428,-0.468825,0.010987,-0.878444,
1.012,-0.937528,0.043214,-0.356212,-0.479263,0.010987,-0.878444,
0.000,-0.937528,0.043214,-0.356212,-0.484390,0.009766,-0.876491,
0.988,-0.921903,0.039552,-0.354015,-0.477553,0.010987,-0.879177,
0.000,-0.921903,-0.006104,-0.358898,-0.484390,0.010987,-0.883816,
1.011,-0.921903,0.040773,-0.358898,-0.476577,0.011475,-0.880642,
0.989,-0.921903,0.041993,-0.361339,-0.478286,0.013916,-0.876491,
0.000,-0.921903,0.040284,-0.361339,-0.484390,0.013916,-0.876491,
1.012,-0.921903,0.031251,-0.361339,-0.478286,0.012452,-0.874050,
1.109,-0.921903,0.039552,-0.360607,-0.478286,0.011231,-0.878689,
0.000,-0.921903,0.005127,-0.359142,-0.484390,0.000000,-0.878689,
1.436,-0.910672,0.036378,-0.359142,-0.478774,0.011963,-0.882839,
0.697,-0.921903,0.040040,-0.353038,-0.484390,0.012696,-0.879177,
0.602,-0.906338,0.042238,-0.009033,-0.468825,0.012696,-0.879665,
0.000,-0.921903,0.042238,-0.352794,0.005371,0.014893,-0.879665,
1.011,-0.937528,0.039552,0.003662,-0.476333,0.017335,-0.876491,
1.006,-0.937528,0.042726,-0.353526,-0.478530,0.016114,-0.875271,
0.160,-0.937528,0.042726,-0.353526,-0.478530,0.016114,-0.875271,
1.050,-0.937528,0.043214,-0.353038,-0.481460,0.015625,-0.876735,
0.000,-0.937528,0.041749,-0.358898,-0.484390,0.011719,-0.873562,
0.966,-0.937528,0.041749,-0.358898,-0.480483,0.011719,-0.873562,
1.022,-0.921903,0.041993,-0.362560,-0.484390,0.009522,-0.872341,
0.000,-0.921903,0.043214,-0.360851,-0.484390,0.013672,-0.876247,
0.992,0.000000,0.044679,-0.362804,-0.484390,0.000000,-0.876247,
0.975,-0.908231,0.044679,-0.362804,-0.482436,0.015625,-0.882351,
0.000,-0.921903,0.041749,-0.359386,-0.484390,0.013428,-0.877712,
0.999,-0.921903,0.040040,-0.014649,-0.479995,0.013428,-0.877712,
1.000,-0.921903,0.040040,-0.358409,-0.474380,0.008545,-0.873317,
1.001,-0.000061,0.041261,-0.365245,-0.484390,0.005860,-0.877956,
0.000,-0.921903,0.041749,-0.361339,-0.472915,0.005860,-0.877956,
1.007,-0.921903,-0.000061,-0.361339,-0.476821,0.008789,-0.877956,
0.000,-0.921903,0.042238,-0.354015,-0.479995,0.010254,-0.877224,
0.993,-0.921903,0.031251,-0.355724,-0.479995,0.010254,-0.877224,
0.999,-0.921903,0.042970,-0.355724,-0.484390,0.010254,-0.879421,
0.000,-0.921903,0.046815,-0.354503,-0.468825,0.011963,-0.876247,
1.000,-0.921903,0.037110,-0.350841,-0.484390,0.011963,-0.876247,
1.000,0.000000,0.037110,-0.350841,-0.484390,0.000000,-0.875515,
0.000,-0.910184,0.036378,-0.357188,-0.481216,0.012940,-0.876491,
1.001,0.000000,0.040040,-0.364513,-0.484390,0.012940,-0.876491,
0.999,-0.921903,0.040040,-0.364513,-0.484390,0.011719,-0.875759,
0.000,-0.921903,0.044435,-0.367199,0.010498,0.010010,-0.875515,
1.518,-0.921903,0.046144,-0.362560,-0.473891,0.010010,-0.874050,
0.000,-0.921903,0.046144,-0.362560,-0.484390,0.010987,-0.874050,
0.724,-0.921903,0.043458,-0.360118,-0.484390,0.013428,-0.881618,
1.041,-0.921903,0.041261,-0.359630,-0.475844,0.012940,-0.880398,
0.000,-0.921903,0.041261,-0.359630,-0.475844,0.012940,-0.880398,
1.234,-0.921903,0.041749,-0.360851,-0.484390,0.009522,-0.873806,
1.013,-0.921903,0.041749,-0.364757,-0.476333,0.011719,-0.873317,
0.000,-0.921903,0.041749,-0.362071,-0.476333,0.011719,-0.873317,
0.986,-0.921903,0.043458,-0.362071,-0.484390,0.012207,-0.877224,
1.009,-0.921903,0.041993,-0.357188,-0.479018,0.011231,-0.878444,
0.000,-0.921903,0.041261,-0.364025,-0.479018,0.011231,-0.878444,
0.991,-0.921903,0.041261,-0.364025,-0.484390,0.012452,-0.882839,
1.009,-0.921903,0.042970,-0.366710,-0.484390,0.014649,-0.879665,
0.000,-0.921903,0.013428,-0.362560,-0.480483,0.014649,-0.879665,
0.998,-0.921903,0.044679,-0.362560,-0.479995,0.016846,-0.872585,
0.993,-0.921903,0.044191,-0.361827,-0.484390,0.014893,-0.877468,
0.000,-0.921903,0.042238,-0.356944,-0.484390,0.014893,-0.877468,
1.000,-0.921903,0.042238,-0.356944,-0.484390,0.011719,-0.880642,
1.008,-0.921903,0.041017,-0.356456,-0.484390,0.009522,-0.878444,
0.000,-0.921903,0.042238,-0.355479,0.008789,0.009522,-0.878444,
0.992,-0.921903,0.042238,-0.011719,-0.476333,0.010743,-0.877468,
1.009,-0.919217,0.042482,-0.355235,-0.484390,0.010987,-0.876735,
0.000,-0.921903,0.040773,-0.356212,-0.484390,0.010987,-0.001709,
